date,store,item,forecast_sales
2018-01-17,2,1,20.87
2018-01-18,2,1,21.53
2018-01-19,2,1,29.21
2018-01-20,2,1,24.06
2018-01-21,2,1,22.68
2018-01-22,2,1,17.06
2018-01-23,2,1,19.78
2018-01-24,2,1,17.63
2018-01-25,2,1,16.23
2018-01-26,2,1,24.52
2018-01-27,2,1,20.94
2018-01-28,2,1,22.13
2018-01-29,2,1,17.55
2018-01-30,2,1,17.38
2018-01-31,2,1,17.22
2018-02-01,2,1,26.8
2018-02-02,2,1,23.74
2018-02-03,2,1,25.49
2018-02-04,2,1,30.73
2018-02-05,2,1,17.23
2018-02-06,2,1,23.57
2018-02-07,2,1,23.24
2018-02-08,2,1,26.17
2018-02-09,2,1,26.89
2018-02-10,2,1,29.2
2018-02-11,2,1,31.32
2018-02-12,2,1,15.88
2018-02-13,2,1,26.01
2018-02-14,2,1,26.36
2018-02-15,2,1,24.66
2018-02-16,2,1,23.16
2018-02-17,2,1,26.65
2018-02-18,2,1,28.43
2018-02-19,2,1,17.99
2018-02-20,2,1,17.16
2018-02-21,2,1,18.2
2018-02-22,2,1,19.28
2018-02-23,2,1,28.0
2018-02-24,2,1,28.31
2018-02-25,2,1,28.32
2018-02-26,2,1,19.98
2018-02-27,2,1,20.59
2018-02-28,2,1,19.0
2018-03-01,2,1,28.25
2018-03-02,2,1,32.56
2018-03-03,2,1,35.82
2018-03-04,2,1,36.89
2018-03-05,2,1,20.7
2018-03-06,2,1,22.09
2018-03-07,2,1,21.49
2018-03-08,2,1,25.95
2018-03-09,2,1,30.12
2018-03-10,2,1,30.7
2018-03-11,2,1,30.93
2018-03-12,2,1,20.85
2018-03-13,2,1,24.4
2018-03-14,2,1,24.33
2018-03-15,2,1,24.51
2018-03-16,2,1,26.42
2018-03-17,2,1,30.09
2018-03-18,2,1,30.99
2018-03-19,2,1,21.32
2018-03-20,2,1,28.14
2018-03-21,2,1,26.1
2018-03-22,2,1,26.26
2018-03-23,2,1,28.84
2018-03-24,2,1,31.05
2018-03-25,2,1,33.59
2018-03-26,2,1,19.2
2018-03-27,2,1,26.46
2018-03-28,2,1,22.6
2018-03-29,2,1,23.11
2018-03-30,2,1,26.53
2018-03-31,2,1,28.12
2018-01-01,3,1,14.06
2018-01-02,3,1,17.36
2018-01-03,3,1,18.78
2018-01-04,3,1,22.37
2018-01-05,3,1,17.73
2018-01-06,3,1,21.02
2018-01-07,3,1,20.73
2018-01-08,3,1,17.24
2018-01-09,3,1,15.52
2018-01-10,3,1,18.89
2018-01-11,3,1,22.09
2018-01-12,3,1,17.84
2018-01-13,3,1,19.62
2018-01-14,3,1,20.89
2018-01-15,3,1,17.27
2018-01-16,3,1,20.73
2018-01-17,3,1,21.88
2018-01-18,3,1,22.5
2018-01-19,3,1,19.12
2018-01-20,3,1,22.35
2018-01-21,3,1,22.65
2018-01-22,3,1,15.49
2018-01-23,3,1,19.9
2018-01-24,3,1,19.48
2018-01-25,3,1,19.32
2018-01-26,3,1,20.8
2018-01-27,3,1,20.64
2018-01-28,3,1,20.5
2018-01-29,3,1,17.06
2018-01-30,3,1,17.15
2018-01-31,3,1,17.6
2018-02-01,3,1,26.14
2018-02-02,3,1,29.4
2018-02-03,3,1,29.47
2018-02-04,3,1,25.49
2018-02-05,3,1,17.78
2018-02-06,3,1,21.71
2018-02-07,3,1,20.46
2018-02-08,3,1,23.26
2018-02-09,3,1,24.57
2018-02-10,3,1,26.54
2018-02-11,3,1,23.95
2018-02-12,3,1,17.02
2018-02-13,3,1,24.43
2018-02-14,3,1,23.17
2018-02-15,3,1,21.47
2018-02-16,3,1,20.21
2018-02-17,3,1,21.16
2018-02-18,3,1,21.41
2018-02-19,3,1,17.72
2018-02-20,3,1,18.66
2018-02-21,3,1,19.26
2018-02-22,3,1,19.62
2018-02-23,3,1,23.45
2018-02-24,3,1,25.05
2018-02-25,3,1,25.74
2018-02-26,3,1,18.07
2018-02-27,3,1,20.62
2018-02-28,3,1,19.2
2018-03-01,3,1,17.07
2018-03-02,3,1,25.3
2018-03-03,3,1,26.62
2018-03-04,3,1,25.37
2018-03-05,3,1,20.72
2018-03-06,3,1,24.09
2018-03-07,3,1,25.11
2018-03-08,3,1,22.26
2018-03-09,3,1,26.65
2018-03-10,3,1,29.32
2018-03-11,3,1,31.91
2018-03-12,3,1,22.55
2018-03-13,3,1,23.4
2018-03-14,3,1,25.04
2018-03-15,3,1,24.53
2018-03-16,3,1,28.32
2018-03-17,3,1,30.22
2018-03-18,3,1,26.88
2018-03-19,3,1,18.69
2018-03-20,3,1,19.91
2018-03-21,3,1,22.13
2018-03-22,3,1,19.3
2018-03-23,3,1,31.89
2018-03-24,3,1,29.48
2018-03-25,3,1,25.15
2018-03-26,3,1,20.89
2018-03-27,3,1,25.13
2018-03-28,3,1,28.0
2018-03-29,3,1,24.97
2018-03-30,3,1,30.32
2018-03-31,3,1,28.51
2018-01-01,4,1,16.8
2018-01-02,4,1,18.64
2018-01-03,4,1,16.62
2018-01-04,4,1,15.62
2018-01-05,4,1,21.98
2018-01-06,4,1,24.14
2018-01-07,4,1,24.82
2018-01-08,4,1,13.9
2018-01-09,4,1,20.61
2018-01-10,4,1,19.38
2018-01-11,4,1,17.86
2018-01-12,4,1,18.61
2018-01-13,4,1,18.78
2018-01-14,4,1,19.07
2018-01-15,4,1,14.78
2018-01-16,4,1,19.42
2018-01-17,4,1,17.66
2018-01-18,4,1,18.77
2018-01-19,4,1,22.55
2018-01-20,4,1,22.97
2018-01-21,4,1,20.02
2018-01-22,4,1,14.67
2018-01-23,4,1,16.86
2018-01-24,4,1,17.73
2018-01-25,4,1,18.82
2018-01-26,4,1,20.46
2018-01-27,4,1,20.12
2018-01-28,4,1,17.94
2018-01-29,4,1,12.25
2018-01-30,4,1,13.71
2018-01-31,4,1,15.06
2018-02-01,4,1,17.66
2018-02-02,4,1,24.64
2018-02-03,4,1,23.78
2018-02-04,4,1,23.77
2018-02-05,4,1,15.34
2018-02-06,4,1,18.62
2018-02-07,4,1,18.98
2018-02-08,4,1,18.57
2018-02-09,4,1,16.62
2018-02-10,4,1,19.91
2018-02-11,4,1,23.17
2018-02-12,4,1,15.0
2018-02-13,4,1,15.38
2018-02-14,4,1,14.81
2018-02-15,4,1,18.19
2018-02-16,4,1,16.01
2018-02-17,4,1,17.23
2018-02-18,4,1,22.19
2018-02-19,4,1,13.23
2018-02-20,4,1,16.71
2018-02-21,4,1,16.79
2018-02-22,4,1,19.43
2018-02-23,4,1,17.01
2018-02-24,4,1,18.49
2018-02-25,4,1,23.06
2018-02-26,4,1,12.84
2018-02-27,4,1,14.47
2018-02-28,4,1,15.25
2018-03-01,4,1,20.89
2018-03-02,4,1,26.47
2018-03-03,4,1,23.27
2018-03-04,4,1,22.58
2018-03-05,4,1,20.59
2018-03-06,4,1,19.26
2018-03-07,4,1,21.4
2018-03-08,4,1,20.88
2018-03-09,4,1,25.55
2018-03-10,4,1,22.99
2018-03-11,4,1,23.51
2018-03-12,4,1,18.49
2018-03-13,4,1,24.75
2018-03-14,4,1,24.28
2018-03-15,4,1,21.82
2018-03-16,4,1,25.66
2018-03-17,4,1,26.25
2018-03-18,4,1,24.71
2018-03-19,4,1,18.42
2018-03-20,4,1,19.33
2018-03-21,4,1,20.74
2018-03-22,4,1,20.01
2018-03-23,4,1,30.81
2018-03-24,4,1,29.43
2018-03-25,4,1,25.1
2018-03-26,4,1,17.98
2018-03-27,4,1,21.74
2018-03-28,4,1,21.67
2018-03-29,4,1,22.11
2018-03-30,4,1,22.36
2018-03-31,4,1,20.25
2018-01-01,5,1,7.95
2018-01-02,5,1,9.31
2018-01-03,5,1,11.04
2018-01-04,5,1,12.24
2018-01-05,5,1,12.78
2018-01-06,5,1,13.32
2018-01-07,5,1,14.15
2018-01-08,5,1,13.36
2018-01-09,5,1,15.0
2018-01-10,5,1,12.62
2018-01-11,5,1,12.51
2018-01-12,5,1,14.14
2018-01-13,5,1,13.25
2018-01-14,5,1,12.43
2018-01-15,5,1,11.62
2018-01-16,5,1,11.95
2018-01-17,5,1,15.06
2018-01-18,5,1,15.78
2018-01-19,5,1,12.58
2018-01-20,5,1,12.22
2018-01-21,5,1,12.16
2018-01-22,5,1,10.88
2018-01-23,5,1,10.26
2018-01-24,5,1,11.4
2018-01-25,5,1,12.22
2018-01-26,5,1,13.1
2018-01-27,5,1,14.65
2018-01-28,5,1,15.72
2018-01-29,5,1,10.42
2018-01-30,5,1,9.3
2018-01-31,5,1,9.29
2018-02-01,5,1,15.35
2018-02-02,5,1,15.57
2018-02-03,5,1,14.07
2018-02-04,5,1,14.04
2018-02-05,5,1,11.02
2018-02-06,5,1,11.61
2018-02-07,5,1,10.63
2018-02-08,5,1,11.7
2018-02-09,5,1,16.85
2018-02-10,5,1,18.48
2018-02-11,5,1,21.35
2018-02-12,5,1,10.64
2018-02-13,5,1,11.5
2018-02-14,5,1,13.73
2018-02-15,5,1,12.82
2018-02-16,5,1,16.59
2018-02-17,5,1,18.8
2018-02-18,5,1,19.95
2018-02-19,5,1,12.77
2018-02-20,5,1,12.66
2018-02-21,5,1,14.98
2018-02-22,5,1,13.17
2018-02-23,5,1,18.22
2018-02-24,5,1,21.1
2018-02-25,5,1,20.82
2018-02-26,5,1,11.42
2018-02-27,5,1,13.45
2018-02-28,5,1,13.3
2018-03-01,5,1,20.88
2018-03-02,5,1,19.51
2018-03-03,5,1,19.2
2018-03-04,5,1,18.0
2018-03-05,5,1,13.86
2018-03-06,5,1,12.5
2018-03-07,5,1,12.16
2018-03-08,5,1,12.98
2018-03-09,5,1,13.86
2018-03-10,5,1,16.84
2018-03-11,5,1,19.61
2018-03-12,5,1,14.99
2018-03-13,5,1,14.84
2018-03-14,5,1,17.48
2018-03-15,5,1,18.29
2018-03-16,5,1,21.2
2018-03-17,5,1,20.8
2018-03-18,5,1,19.12
2018-03-19,5,1,14.13
2018-03-20,5,1,13.72
2018-03-21,5,1,18.2
2018-03-22,5,1,18.83
2018-03-23,5,1,15.15
2018-03-24,5,1,14.14
2018-03-25,5,1,17.53
2018-03-26,5,1,11.79
2018-03-27,5,1,16.61
2018-03-28,5,1,16.4
2018-03-29,5,1,15.9
2018-03-30,5,1,18.56
2018-03-31,5,1,17.98
2018-01-01,6,1,9.25
2018-01-02,6,1,8.65
2018-01-03,6,1,10.02
2018-01-04,6,1,11.43
2018-01-05,6,1,15.55
2018-01-06,6,1,15.14
2018-01-07,6,1,13.9
2018-01-08,6,1,12.16
2018-01-09,6,1,12.85
2018-01-10,6,1,12.06
2018-01-11,6,1,13.06
2018-01-12,6,1,13.48
2018-01-13,6,1,15.22
2018-01-14,6,1,16.83
2018-01-15,6,1,11.9
2018-01-16,6,1,11.08
2018-01-17,6,1,11.51
2018-01-18,6,1,13.56
2018-01-19,6,1,13.65
2018-01-20,6,1,15.86
2018-01-21,6,1,17.92
2018-01-22,6,1,10.76
2018-01-23,6,1,10.86
2018-01-24,6,1,13.18
2018-01-25,6,1,12.65
2018-01-26,6,1,16.39
2018-01-27,6,1,17.81
2018-01-28,6,1,19.06
2018-01-29,6,1,9.21
2018-01-30,6,1,9.36
2018-01-31,6,1,9.7
2018-02-01,6,1,12.85
2018-02-02,6,1,13.84
2018-02-03,6,1,13.76
2018-02-04,6,1,14.79
2018-02-05,6,1,9.35
2018-02-06,6,1,12.75
2018-02-07,6,1,14.29
2018-02-08,6,1,15.14
2018-02-09,6,1,15.21
2018-02-10,6,1,17.13
2018-02-11,6,1,17.47
2018-02-12,6,1,9.68
2018-02-13,6,1,14.4
2018-02-14,6,1,14.48
2018-02-15,6,1,13.37
2018-02-16,6,1,15.63
2018-02-17,6,1,17.22
2018-02-18,6,1,18.21
2018-02-19,6,1,12.78
2018-02-20,6,1,12.7
2018-02-21,6,1,10.08
2018-02-22,6,1,9.83
2018-02-23,6,1,15.42
2018-02-24,6,1,16.23
2018-02-25,6,1,15.24
2018-02-26,6,1,10.04
2018-02-27,6,1,13.75
2018-02-28,6,1,12.75
2018-03-01,6,1,18.02
2018-03-02,6,1,16.76
2018-03-03,6,1,17.21
2018-03-04,6,1,19.4
2018-03-05,6,1,12.63
2018-03-06,6,1,9.77
2018-03-07,6,1,12.42
2018-03-08,6,1,14.92
2018-03-09,6,1,18.38
2018-03-10,6,1,17.15
2018-03-11,6,1,17.28
2018-03-12,6,1,15.21
2018-03-13,6,1,14.32
2018-03-14,6,1,13.07
2018-03-15,6,1,13.98
2018-03-16,6,1,18.78
2018-03-17,6,1,18.52
2018-03-18,6,1,19.29
2018-03-19,6,1,15.43
2018-03-20,6,1,13.49
2018-03-21,6,1,14.2
2018-03-22,6,1,16.08
2018-03-23,6,1,21.75
2018-03-24,6,1,21.69
2018-03-25,6,1,21.39
2018-03-26,6,1,13.47
2018-03-27,6,1,16.45
2018-03-28,6,1,17.48
2018-03-29,6,1,18.95
2018-03-30,6,1,19.4
2018-03-31,6,1,19.19
2018-01-01,7,1,6.78
2018-01-02,7,1,7.89
2018-01-03,7,1,8.92
2018-01-04,7,1,11.18
2018-01-05,7,1,14.23
2018-01-06,7,1,13.34
2018-01-07,7,1,16.54
2018-01-08,7,1,8.35
2018-01-09,7,1,8.83
2018-01-10,7,1,13.7
2018-01-11,7,1,13.78
2018-01-12,7,1,13.44
2018-01-13,7,1,12.71
2018-01-14,7,1,14.47
2018-01-15,7,1,9.0
2018-01-16,7,1,9.52
2018-01-17,7,1,12.61
2018-01-18,7,1,11.73
2018-01-19,7,1,13.01
2018-01-20,7,1,12.79
2018-01-21,7,1,12.82
2018-01-22,7,1,6.73
2018-01-23,7,1,8.44
2018-01-24,7,1,12.57
2018-01-25,7,1,13.76
2018-01-26,7,1,13.17
2018-01-27,7,1,12.46
2018-01-28,7,1,11.92
2018-01-29,7,1,9.41
2018-01-30,7,1,9.64
2018-01-31,7,1,10.69
2018-02-01,7,1,14.89
2018-02-02,7,1,10.08
2018-02-03,7,1,10.68
2018-02-04,7,1,14.12
2018-02-05,7,1,7.29
2018-02-06,7,1,14.28
2018-02-07,7,1,15.7
2018-02-08,7,1,16.03
2018-02-09,7,1,14.82
2018-02-10,7,1,16.72
2018-02-11,7,1,17.77
2018-02-12,7,1,8.9
2018-02-13,7,1,17.42
2018-02-14,7,1,16.93
2018-02-15,7,1,13.24
2018-02-16,7,1,15.8
2018-02-17,7,1,15.94
2018-02-18,7,1,15.47
2018-02-19,7,1,8.83
2018-02-20,7,1,13.06
2018-02-21,7,1,9.83
2018-02-22,7,1,9.68
2018-02-23,7,1,14.64
2018-02-24,7,1,14.31
2018-02-25,7,1,13.78
2018-02-26,7,1,9.62
2018-02-27,7,1,11.64
2018-02-28,7,1,11.46
2018-03-01,7,1,15.27
2018-03-02,7,1,20.59
2018-03-03,7,1,19.52
2018-03-04,7,1,16.24
2018-03-05,7,1,11.4
2018-03-06,7,1,10.12
2018-03-07,7,1,14.62
2018-03-08,7,1,15.13
2018-03-09,7,1,14.27
2018-03-10,7,1,16.46
2018-03-11,7,1,18.93
2018-03-12,7,1,13.36
2018-03-13,7,1,15.4
2018-03-14,7,1,16.04
2018-03-15,7,1,13.01
2018-03-16,7,1,21.37
2018-03-17,7,1,21.42
2018-03-18,7,1,18.35
2018-03-19,7,1,9.05
2018-03-20,7,1,12.01
2018-03-21,7,1,17.12
2018-03-22,7,1,16.92
2018-03-23,7,1,14.71
2018-03-24,7,1,13.86
2018-03-25,7,1,14.79
2018-03-26,7,1,12.74
2018-03-27,7,1,13.25
2018-03-28,7,1,13.76
2018-03-29,7,1,14.65
2018-03-30,7,1,18.21
2018-03-31,7,1,17.61
2018-01-01,8,1,17.42
2018-01-02,8,1,19.09
2018-01-03,8,1,20.88
2018-01-04,8,1,20.49
2018-01-05,8,1,21.52
2018-01-06,8,1,20.61
2018-01-07,8,1,20.37
2018-01-08,8,1,16.23
2018-01-09,8,1,17.65
2018-01-10,8,1,19.22
2018-01-11,8,1,19.52
2018-01-12,8,1,21.05
2018-01-13,8,1,22.57
2018-01-14,8,1,25.11
2018-01-15,8,1,15.56
2018-01-16,8,1,21.48
2018-01-17,8,1,21.77
2018-01-18,8,1,20.79
2018-01-19,8,1,21.69
2018-01-20,8,1,21.89
2018-01-21,8,1,22.13
2018-01-22,8,1,17.24
2018-01-23,8,1,17.85
2018-01-24,8,1,17.0
2018-01-25,8,1,16.99
2018-01-26,8,1,19.83
2018-01-27,8,1,21.29
2018-01-28,8,1,23.62
2018-01-29,8,1,18.39
2018-01-30,8,1,21.06
2018-01-31,8,1,20.46
2018-02-01,8,1,20.5
2018-02-02,8,1,24.16
2018-02-03,8,1,29.06
2018-02-04,8,1,30.59
2018-02-05,8,1,16.56
2018-02-06,8,1,18.17
2018-02-07,8,1,21.11
2018-02-08,8,1,25.13
2018-02-09,8,1,26.28
2018-02-10,8,1,25.11
2018-02-11,8,1,25.21
2018-02-12,8,1,17.38
2018-02-13,8,1,18.16
2018-02-14,8,1,18.52
2018-02-15,8,1,24.61
2018-02-16,8,1,20.63
2018-02-17,8,1,22.88
2018-02-18,8,1,26.38
2018-02-19,8,1,15.32
2018-02-20,8,1,22.95
2018-02-21,8,1,21.95
2018-02-22,8,1,27.47
2018-02-23,8,1,24.14
2018-02-24,8,1,24.71
2018-02-25,8,1,25.44
2018-02-26,8,1,16.95
2018-02-27,8,1,22.69
2018-02-28,8,1,22.19
2018-03-01,8,1,31.12
2018-03-02,8,1,33.66
2018-03-03,8,1,35.14
2018-03-04,8,1,32.9
2018-03-05,8,1,21.87
2018-03-06,8,1,27.1
2018-03-07,8,1,26.83
2018-03-08,8,1,28.55
2018-03-09,8,1,31.18
2018-03-10,8,1,34.62
2018-03-11,8,1,31.29
2018-03-12,8,1,21.74
2018-03-13,8,1,27.22
2018-03-14,8,1,30.87
2018-03-15,8,1,29.85
2018-03-16,8,1,25.71
2018-03-17,8,1,30.69
2018-03-18,8,1,28.19
2018-03-19,8,1,23.01
2018-03-20,8,1,24.86
2018-03-21,8,1,29.96
2018-03-22,8,1,31.47
2018-03-23,8,1,21.88
2018-03-24,8,1,22.92
2018-03-25,8,1,25.14
2018-03-26,8,1,27.27
2018-03-27,8,1,22.8
2018-03-28,8,1,21.27
2018-03-29,8,1,24.42
2018-03-30,8,1,27.72
2018-03-31,8,1,29.1
2018-01-01,9,1,16.96
2018-01-02,9,1,16.55
2018-01-03,9,1,16.29
2018-01-04,9,1,18.05
2018-01-05,9,1,17.87
2018-01-06,9,1,22.3
2018-01-07,9,1,22.09
2018-01-08,9,1,18.49
2018-01-09,9,1,18.61
2018-01-10,9,1,19.83
2018-01-11,9,1,17.58
2018-01-12,9,1,19.44
2018-01-13,9,1,22.18
2018-01-14,9,1,21.33
2018-01-15,9,1,13.73
2018-01-16,9,1,13.34
2018-01-17,9,1,16.62
2018-01-18,9,1,18.35
2018-01-19,9,1,22.39
2018-01-20,9,1,21.99
2018-01-21,9,1,21.59
2018-01-22,9,1,13.38
2018-01-23,9,1,16.82
2018-01-24,9,1,14.26
2018-01-25,9,1,12.35
2018-01-26,9,1,20.01
2018-01-27,9,1,20.65
2018-01-28,9,1,23.26
2018-01-29,9,1,16.61
2018-01-30,9,1,15.12
2018-01-31,9,1,13.03
2018-02-01,9,1,14.83
2018-02-02,9,1,17.66
2018-02-03,9,1,19.87
2018-02-04,9,1,22.6
2018-02-05,9,1,16.33
2018-02-06,9,1,17.61
2018-02-07,9,1,16.85
2018-02-08,9,1,15.19
2018-02-09,9,1,21.93
2018-02-10,9,1,23.18
2018-02-11,9,1,22.93
2018-02-12,9,1,21.36
2018-02-13,9,1,20.3
2018-02-14,9,1,18.82
2018-02-15,9,1,17.05
2018-02-16,9,1,21.62
2018-02-17,9,1,23.03
2018-02-18,9,1,25.61
2018-02-19,9,1,15.84
2018-02-20,9,1,17.63
2018-02-21,9,1,20.03
2018-02-22,9,1,20.12
2018-02-23,9,1,25.73
2018-02-24,9,1,28.11
2018-02-25,9,1,25.26
2018-02-26,9,1,14.73
2018-02-27,9,1,15.73
2018-02-28,9,1,15.55
2018-03-01,9,1,22.4
2018-03-02,9,1,24.24
2018-03-03,9,1,25.48
2018-03-04,9,1,27.06
2018-03-05,9,1,14.24
2018-03-06,9,1,21.54
2018-03-07,9,1,20.94
2018-03-08,9,1,25.46
2018-03-09,9,1,26.6
2018-03-10,9,1,30.08
2018-03-11,9,1,28.59
2018-03-12,9,1,17.07
2018-03-13,9,1,21.25
2018-03-14,9,1,21.52
2018-03-15,9,1,22.09
2018-03-16,9,1,23.51
2018-03-17,9,1,30.02
2018-03-18,9,1,31.5
2018-03-19,9,1,17.82
2018-03-20,9,1,27.36
2018-03-21,9,1,24.68
2018-03-22,9,1,21.05
2018-03-23,9,1,19.47
2018-03-24,9,1,17.5
2018-03-25,9,1,20.92
2018-03-26,9,1,20.6
2018-03-27,9,1,22.3
2018-03-28,9,1,19.5
2018-03-29,9,1,21.93
2018-03-30,9,1,27.03
2018-03-31,9,1,26.3
2018-01-01,10,1,14.84
2018-01-02,10,1,16.09
2018-01-03,10,1,16.56
2018-01-04,10,1,22.51
2018-01-05,10,1,19.16
2018-01-06,10,1,18.9
2018-01-07,10,1,22.52
2018-01-08,10,1,15.95
2018-01-09,10,1,18.79
2018-01-10,10,1,15.19
2018-01-11,10,1,14.99
2018-01-12,10,1,24.89
2018-01-13,10,1,26.71
2018-01-14,10,1,24.95
2018-01-15,10,1,14.73
2018-01-16,10,1,16.14
2018-01-17,10,1,18.29
2018-01-18,10,1,19.44
2018-01-19,10,1,19.8
2018-01-20,10,1,18.33
2018-01-21,10,1,19.29
2018-01-22,10,1,13.52
2018-01-23,10,1,15.81
2018-01-24,10,1,12.99
2018-01-25,10,1,11.76
2018-01-26,10,1,21.53
2018-01-27,10,1,18.77
2018-01-28,10,1,22.02
2018-01-29,10,1,14.26
2018-01-30,10,1,16.91
2018-01-31,10,1,14.71
2018-02-01,10,1,13.78
2018-02-02,10,1,21.63
2018-02-03,10,1,23.17
2018-02-04,10,1,25.57
2018-02-05,10,1,16.17
2018-02-06,10,1,19.12
2018-02-07,10,1,18.62
2018-02-08,10,1,16.76
2018-02-09,10,1,23.36
2018-02-10,10,1,22.76
2018-02-11,10,1,26.61
2018-02-12,10,1,19.11
2018-02-13,10,1,18.13
2018-02-14,10,1,20.34
2018-02-15,10,1,21.65
2018-02-16,10,1,19.24
2018-02-17,10,1,19.03
2018-02-18,10,1,25.5
2018-02-19,10,1,16.04
2018-02-20,10,1,21.2
2018-02-21,10,1,22.73
2018-02-22,10,1,21.44
2018-02-23,10,1,26.4
2018-02-24,10,1,25.81
2018-02-25,10,1,22.93
2018-02-26,10,1,16.05
2018-02-27,10,1,20.45
2018-02-28,10,1,19.23
2018-03-01,10,1,21.93
2018-03-02,10,1,24.3
2018-03-03,10,1,31.65
2018-03-04,10,1,32.43
2018-03-05,10,1,21.66
2018-03-06,10,1,21.54
2018-03-07,10,1,23.31
2018-03-08,10,1,23.67
2018-03-09,10,1,24.58
2018-03-10,10,1,32.7
2018-03-11,10,1,33.15
2018-03-12,10,1,20.12
2018-03-13,10,1,19.95
2018-03-14,10,1,20.52
2018-03-15,10,1,24.23
2018-03-16,10,1,27.13
2018-03-17,10,1,30.8
2018-03-18,10,1,28.14
2018-03-19,10,1,19.31
2018-03-20,10,1,26.98
2018-03-21,10,1,28.11
2018-03-22,10,1,25.91
2018-03-23,10,1,21.65
2018-03-24,10,1,23.18
2018-03-25,10,1,24.03
2018-03-26,10,1,15.46
2018-03-27,10,1,24.34
2018-03-28,10,1,22.92
2018-03-29,10,1,23.38
2018-03-30,10,1,27.6
2018-03-31,10,1,28.89
2018-01-01,1,2,32.55
2018-01-02,1,2,34.75
2018-01-03,1,2,39.21
2018-01-04,1,2,40.6
2018-01-05,1,2,41.19
2018-01-06,1,2,43.46
2018-01-07,1,2,51.94
2018-01-08,1,2,30.12
2018-01-09,1,2,37.66
2018-01-10,1,2,40.36
2018-01-11,1,2,41.5
2018-01-12,1,2,37.57
2018-01-13,1,2,34.66
2018-01-14,1,2,45.28
2018-01-15,1,2,23.2
2018-01-16,1,2,38.26
2018-01-17,1,2,40.03
2018-01-18,1,2,48.82
2018-01-19,1,2,47.47
2018-01-20,1,2,43.71
2018-01-21,1,2,47.71
2018-01-22,1,2,27.69
2018-01-23,1,2,41.48
2018-01-24,1,2,39.13
2018-01-25,1,2,41.64
2018-01-26,1,2,37.15
2018-01-27,1,2,40.62
2018-01-28,1,2,46.49
2018-01-29,1,2,27.68
2018-01-30,1,2,36.51
2018-01-31,1,2,35.07
